"","Species","Overlap_Flowers","Overlap_Crops","Overlap_Fruit","Overlap_Hay","Overlap_Livestock","Overlap_Veg","Overlap_Population_Numbers","Prop_Flowers","Prop_Fruit","Prop_Veg","Prop_Hay","Prop_Crops","Prop_Livestock","Prop_Population","Econ_Flowers","Econ_Fruit","Econ_Veg","Econ_Hay","Econ_Crops","Econ_Livestock","Selected_by","Impact_Flowers","Impact_Fruit","Impact_Veg","Impact_Hay","Impact_Crops","Impact_Livestock","Amenity","Environment","Time","Mananagement_Impact","Management_Impact_Unc","Implementability","Implementability_Unc","Name","WebLink","Image_Name","Monetary_Damage","Man_Utility","Unweighted_Score","Likelihood","Community"
"1","Airborne phytophthora",130128410.37201,302858881.570801,413699141.830831,409222469.374024,426955933.400751,93361594.5788396,5577938,0.88594470598589,0.979724056448188,0.968716017383227,0.679216767929562,0.852971433389671,0.574723659657637,0.253361609493653,1148.45012236951,5445.79616776725,3473.23440872582,1086.7468286873,8061.43301696578,16467.2121859745,"Trees",0,0.2,0,0,0,0,3,1,10,1,1,1,1,"Airborne phytophthora","http://www.agriculture.gov.au/pests-diseases-weeds/plant/phytophthora-blight","airborne-phytophthora.jpg",1089.15923355345,4.9,2.83822519335416,0.5615152510264,4
"2","Bees mites",130161803.839763,307970316.440537,418831379.25057,414344462.486902,432088170.82049,93377490.1068667,5662397,0.886172056538206,0.991878242800301,0.96888094872008,0.687718118338811,0.867367273144819,0.581632143745467,0.257197913908694,1148.74483689048,5513.35521260547,3473.82575354097,1100.3489893421,8197.48809849168,16665.1568354526,"Orchard",0,0.1,0,0,0,0,5,1,10,1,1,1,1,"Bees mites","http://www.agriculture.gov.au/pests-diseases-weeds/plant/bees","mites-bees.jpg",551.335521260547,4.9,3.16996998848426,0.378218520112099,3
"3","Citrus canker",97153167.9437091,225733675.86214,272356785.150332,269905574.434015,273992512.721454,79491573.147412,2749264,0.661441529666151,0.644996489883423,0.824801252616368,0.447982223932302,0.635756085691799,0.368820216118793,0.12487732060897,857.426654906231,3585.21298901701,2957.24241113073,716.771558291684,6008.53076587319,10567.5843603221,"Citrus",0,0.2,0,0,0,0,2,1,10,1,1,1,1,"Citrus canker","http://www.agriculture.gov.au/pests-diseases-weeds/plant/citrus-canker","citrus-canker.jpg",717.042597803402,4.9,2.59099987281123,0.279164262228577,5
"4","Exotic bees",130161803.839763,307970316.440537,418831379.25057,414344462.486902,432088170.82049,93377490.1068667,5662397,0.886172056538206,0.991878242800301,0.96888094872008,0.687718118338811,0.867367273144819,0.581632143745467,0.257197913908694,1148.74483689048,5513.35521260547,3473.82575354097,1100.3489893421,8197.48809849168,16665.1568354526,"rchard",0.2,0.2,0.1,0,0,0.05,3,2,10,1,1,1,1,"Exotic bees","http://www.agriculture.gov.au/pests-diseases-weeds/plant/exotic-bees","exotic-bees.jpg",2513.06042702592,4.9,3.21893248731229,0.486612835645175,3
"5","Exotic fruit fly",130438394.665911,309121059.972527,420177225.771199,415655462.813438,433562416.66585,93513359.7354406,6026289,0.888055151685907,0.995065482219537,0.970290726327984,0.689894082444366,0.870608226009911,0.583616620130961,0.273726649581601,1151.18589313044,5531.0714829173,3478.88037017635,1103.83053191099,8228.11834401967,16722.0168466404,"Fruit",0,0.3,0,0,0,0,5,1,10,1,1,1,1,"Exotic fruit fly","http://www.agriculture.gov.au/pests-diseases-weeds/plant/fruit-flies","exotic-fruit-fly.jpg",1659.32144487519,4.9,3.31058447698807,0.809028699467812,4
"6","Giant African snail",113861663.899637,145738581.672747,195991927.926752,231624517.792985,233080906.463151,96376639.6998734,6292411,0.775196884817438,0.464148912201557,1,0.384444325819272,0.410457987115429,0.313749267967394,0.285814467381238,1004.88772178884,2579.97172847235,3585.4,615.110921310836,3879.23843622791,8989.66952550897,"Vegetables",0.1,0,0.1,0,0,0,1,1,100,1,1,1,1,"Giant African snail","http://www.agriculture.gov.au/pests-diseases-weeds/plant/giant-african-snail","giant-african-snail.jpg",459.028772178885,4.9,1.45825533938003,0.729097526689373,2
"7","Guava rust",130128410.37201,302858881.570801,413699141.830831,409222469.374024,426955933.400751,93361594.5788396,5577938,0.88594470598589,0.979724056448188,0.968716017383227,0.679216767929562,0.852971433389671,0.574723659657637,0.253361609493653,1148.45012236951,5445.79616776725,3473.23440872582,1086.7468286873,8061.43301696578,16467.2121859745,"Trees",0,0.1,0,0,0,0,3,1,30,1,1,1,1,"Guava rust","http://www.agriculture.gov.au/pests-diseases-weeds/plant/guava-eucalyptus-rust","guava-rust.jpg",544.579616776725,4.9,2.56911259667708,0.669811639915698,4
"8","Gypsy moths",146880961.636541,355063334.732387,422260879.589527,602491706.177169,742889084.564726,96376639.6998734,12974075,1,1,1,1,1,1,0.589309620094624,1296.3,5558.5,3585.4,1600,9451,28652.4,"Total",0.1,0.1,0.1,0.1,0.1,0.1,2,2,30,1,1,1,1,"Gypsy moths","http://www.agriculture.gov.au/pests-diseases-weeds/plant/exotic-gypsy-moth","exotic-gypsy-moths.jpg",5014.36,4.9,3.13637240469059,0.380302082545033,4
"9","Huanglongbing",97153167.9437091,225733675.86214,272356785.150332,269905574.434015,273992512.721454,79491573.147412,2749264,0.661441529666151,0.644996489883423,0.824801252616368,0.447982223932302,0.635756085691799,0.368820216118793,0.12487732060897,857.426654906231,3585.21298901701,2957.24241113073,716.771558291684,6008.53076587319,10567.5843603221,"Citrus",0,0.4,0,0,0,0,5,1,30,1,1,1,1,"Huanglongbing","http://www.agriculture.gov.au/pests-diseases-weeds/plant/huanglongbing","huanglongbing.jpg",1434.0851956068,4.9,3.08199974562247,0.938997443361566,2
"10","Karnal bunt",93452373.3642451,350839276.803555,304836246.143929,350179895.324479,350789020.127263,75248766.8881186,3317763,0.636245653098964,0.721914486703707,0.780778071558117,0.581219445403461,0.988103367721661,0.472195684949116,0.150699734130873,824.765240112186,4012.76167434255,2799.40169776447,929.951112645537,9338.56492833742,13529.5396434361,"Wheat",0,0,0,0.1,0.3,0.1,4,1,10,1,1,1,1,"Karnal bunt","http://www.agriculture.gov.au/pests-diseases-weeds/plant/karnal-bunt","karnal-bunt.jpg",4247.51855410938,4.9,3.43905256029613,0.660262058757631,1
