Name,WebLink,Image Tag,Business,Amenity,Environment
Xylella,http://www.agriculture.gov.au/pests-diseases-weeds/plant/xylella,xylella.jpg,,,
Khapra beetle,http://www.agriculture.gov.au/pests-diseases-weeds/plant/khapra-beetle,khapra-beetle.jpg,,,
Exotic fruit fly,http://www.agriculture.gov.au/pests-diseases-weeds/plant/fruit-flies,exotic-fruit-fly.jpg,,,
Karnal bunt,http://www.agriculture.gov.au/pests-diseases-weeds/plant/karnal-bunt,karnal-bunt.jpg,,,
Huanglongbing,http://www.agriculture.gov.au/pests-diseases-weeds/plant/huanglongbing,huanglongbing.jpg,,,
Gypsy moths,http://www.agriculture.gov.au/pests-diseases-weeds/plant/exotic-gypsy-moth,exotic-gypsy-moths.jpg,,,
Tramp ants,http://www.agriculture.gov.au/pests-diseases-weeds/plant/tramp-ants,tramp-ants.jpg,,,
Bees mites,http://www.agriculture.gov.au/pests-diseases-weeds/plant/bees,mites-bees.jpg,,,
Giant African snail,http://www.agriculture.gov.au/pests-diseases-weeds/plant/giant-african-snail,giant-african-snail.jpg,,,
Stink bug,http://www.agriculture.gov.au/pests-diseases-weeds/plant/brown-marmorated-stink-bug,brown-marmorated-stinkbug.jpg,,,
Zebra chip,http://www.agriculture.gov.au/pests-diseases-weeds/plant/zebra-chip,zebra-chip.jpg,,,
Ug99,http://www.agriculture.gov.au/pests-diseases-weeds/plant/ug99,ug99.jpg,,,
Russian wheat aphid,http://www.agriculture.gov.au/pests-diseases-weeds/plant/russian-wheat-aphid,russian-wheat-aphid.jpg,,,
Citrus canker,http://www.agriculture.gov.au/pests-diseases-weeds/plant/citrus-canker,citrus-canker.jpg,,,
Guava rust,http://www.agriculture.gov.au/pests-diseases-weeds/plant/guava-eucalyptus-rust,guava-rust.jpg,,,
Airborne phytophthora,http://www.agriculture.gov.au/pests-diseases-weeds/plant/phytophthora-blight,airborne-phytophthora.jpg,,,
Exotic bees,http://www.agriculture.gov.au/pests-diseases-weeds/plant/exotic-bees,exotic-bees.jpg,,,
Panama disease tropical race 4,http://www.agriculture.gov.au/pests-diseases-weeds/plant/panama-disease-tropical-race-4,tropical-race.jpg,,,
Potato cyst nematode,http://www.agriculture.gov.au/pests-diseases-weeds/plant/potato-cyst-nematode,potato-cyst-nematode.jpg,,,
Leaf miner,http://www.agriculture.gov.au/pests-diseases-weeds/plant/potato-cyst-nematode,leaf-miner.jpg,,,
